Meshes_PerMeshSettings,Per-mesh settings,Настройки меша,逐网格设置
Meshes_HalfPrecision,Store mesh in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储网格
Meshes_HalfPrecisionShort,Use half-precision floats,Плавающая точка половинной точности,使用半精度浮点数
Meshes_OverrideSettings,{0} Mesh settings,{0} Настройки меша,{0} 网格设置
,,,
Animations_DefaultAnimationSettings,Default Animation settings,Настройки анимации по умолчанию,默认动画设置
Animations_PerAnimationSettings,Per-animation settings,Настройки анимации,逐动画设置
Animations_HalfPrecision,Store animation in Half-precision floating-point format ,Формат с плавающей точкой половинной точности,以半精度浮点格式存储动画
Animations_HalfPrecisionShort,Use half-precision floats,Число половинной точности,使用半精度浮点数
Animations_OverrideSettings,{0} Animation settings,{0} Настройки анимации,{0} 动画设置
Animations_StripCurves,Remove redundant keyframes,Удалять избыточные ключи анимации,Remove redundant keyframes
ShadersTab_DevelopShadersCount,Develop build shader variants total count,Количество найденных вариантов шейдеров в сборке develop,Develop 版本着色器变体总数
,,,
Code_DiagnosticsTab,Diagnostics,Диагностика,诊断
Code_ExclusionsTab,Exclusions,Исключения,排除
Code_StubsTab,Stubs,Стабы,存根
Code_ExternalSourcesTab,External Sources,Внешние источники,外部源
Code_ScriptingDefinesTab,Scripting Defines,Scripting Defines,脚本预处理定义
,,,
DiagnosticsTab_DefaultMessage,"No diagnostics, hit 'Run Diagnostics'","Нет диагностики, нажмите 'Запустить диагностику'",没有诊断，点击 '运行诊断'
DiagnosticsTab_CompilingMessage,Compiling solution...,Компиляция решения ...,正在编译解决方案...
DiagnosticsTab_CompiledMessage,Solution compiled successfully!,Решение скомпилировалось успешно!,解决方案编译成功!
DiagnosticsTab_GatheringMessage,Gathering compilation diagnostics...,Сбор диагностики компиляции ...,正在收集编译诊断...
DiagnosticsTab_ErrorMessage,"Whoops, something went wrong :(","Упс, что-то пошло не так :(",糟糕，出错了:(
DiagnosticsTab_CleanMessage,No compilation errors found,Не найдено ни одной ошибки компиляции,未发现编译错误
DiagnosticsTab_ConsoleMessage_CategoryDuplicate,Compilation panel: Can't add error code {0} to category: '{1}' as it is already assigned to '{2}',"Панель компиляции: невозможно добавить код ошибки {0} к категории: «{1}», так как он уже назначен «{2}»",编译面板：无法在类别中添加错误代码 {0}：'{1}'，因为它已经分配给 '{2}'
DiagnosticsTab_ConsoleMessage_WrongCategoryPath,Compilation panel: Couldn't find categories data at: {0},Панель компиляции: Не удалось найти категории данных по адресу: {0},编译面板：无法在以下位置找到类别数据：{0}
DiagnosticsTab_GroupBy,Group by:,Группа по:,分组依据：
DiagnosticsTab_Severity,Severity:,Критичность:,严重程度：
,,,
CodeSection_OpenSolution,Open Playable Solution,Открыть Playable решение,打开 Playable 解决方案
CodeSection_CompileSolution,Compile Solution,Скомпилировать решение,编译解决方案
CodeSection_RunDiagnostics,Run Diagnostics,Запустить диагностику,运行诊断程序
,,,
CodeExcludeTab_ForceExclude,Force-exclude C# files,Принудительно исключить файлы C #,强制排除 C# 脚本
,,,
StubberTab_DeleteButtonTooltip,Remove the selected field from the list. You can't remove default fields.,Удалить выбранное поле из списка. Вы не можете удалить стандартные поля.,从列表中移除所选字段。您不能移除默认字段。
StubberTab_GenerateButtonTooltip,Generate scripts from current nameSpace. You can specify classes or just leave the classes field empty - in this case Stubber will generate all classes. Don't forget to add the directory with original sources to list of Force Excluded C# files.,Создает скрипты из текущего пространства имен. Вы можете указать конкретные классы или оставить поле классов пустым - в этом случае Стаббер будет генерировать все классы. Не забудьте добавить оригинальные скрипты в список исключенных C# файлов.,从当前命名空间生成脚本。您可以指定类，也可将类字段留空。在这种情况下，Stubber 将生成所有类。不要忘记将带有原始来源的目录添加到强制排除的 C# 文件列表中。
StubberTab_ThirdPartySdks,Third-party SDKs,Сторонние SDK,第三方 SDK
StubberTab_AutomaticStubbing,Automatic Stubbing,Автоматический Стаббер,自动存根
StubberTab_Description,"Generate stubs for libraries, plugins and SDKs that aren't supported by Unity Playworks Plugin. This will exclude the library
from your Playable build and stub all references to that library.","Сформировать стабы для библиотек, плагинов и SDK, которые не поддерживаются Unity Playworks Plugin. 
Это позволит исключить библиотеку из вашей сборки и создать стабы для всех ссылок на эту библиотеку.",为 Unity Playworks Plugin 不支持的库、插件和 SDK 生成存根。该操作将从您的 Playable 构建中排除库，并对该库的所有引用进行存根。
StubberTab_SelectSdk,Select SDKs to be stubbed,Выберите SDK для создания стабов,选择需要存根的 SDK
StubberTab_DeleteFieldButton,Delete field,Удалить поле,删除字段
StubberTab_CustomSdkSection,Add an SDK to be stubbed,Добавить SDK для создания стабов,添加要存根的 SDK
StubberTab_CustomSdkName,Name of SDK,Название SDK,SDK 名称
StubberTab_CustomSdkNamespace,Namespace,Пространство имен,命名空间
StubberTab_CustomSdkClasses,Name of specific classes,Название классов,特定类的名称
StubberTab_CustomSdkGenerateButton,Generate Stub,Сгенерировать стаб,生成存根
StubberTab_SucceedMessage_Ok,Ok,Окей,好的
StubberTab_SucceedMessage_Title,SDK stubbing succeeded,Генерация стаба прошла успешно,SDK 存根成功
StubberTab_SucceedMessage_StubbedTypesCount,Count of stubbed types,Количество застабаных типов,存根类型数
StubberTab_FailedMessage_Ok,Ok,Окей,好的
StubberTab_FailedMessage_Title,Stub generation failed,Ошибка при генерации стаба,存根生成失败
StubberTab_TypeGenerationFailed,Type generation failed,Ошибка при генерации типа,类型生成失败
StubberTab_SDKNotFoundMessage_Ok,Ok,Окей,好的
StubberTab_SDKNotFound,SDK not found,SDK не найдено,未找到 SDK
StubberTab_NoneOfTypesListed,None of the listed types,Ни один из перечисленных типов,所列的类型没有
StubberTab_WereFoundAmongNamespaces,were found among namespaces,не был найден среди пространств имен,在命名空间中被找到
StubberTab_SDKWasNotFoundInItsDirectory,SDK was not found in its directory,SDK не был найден в своей директории,未在其目录中找到 SDK
,,,
StubberTree_Stub,Stub,Стаб,存根
StubberTree_Name,Name,Имя,名称
StubberTree_Namespace,Namespace,Пространство имен,命名空间
StubberTree_Classes,Classes,Классы,类
,,,
ExternalSourceTab_CsSources,External C# sources folders,Папки с внешними C # скриптами,外部 C# 源文件夹
ExternalSourceTab_BrowseAbsolute,Browse for absolute path,Обзор абсолютного пути,浏览绝对路径
ExternalSourceTab_BrowseAbsoluteHeader,Choose Path to External Sources,Выберите путь к внешним источникам,选择外部源的路径
ExternalSourceTab_BrowseRelative,Browse for relative path,Обзор относительного пути,浏览相对路径
ExternalSourceTab_BrowseRelativeHeader,Choose Path to External Sources,Выберите путь к внешним источникам,选择外部源的路径
